Gene	FDRAdjustedP-value	CancerSampleMed	NormalSampleMed	|log2FC|
AKT3	q<=5.0e-20	16.1	47.3	-1.56
LINC01087	5.6e-07	3.0	1.0	1.56
MIR23B	4.6e-09	1.0	2.9	-1.56
CNR1	5.8e-08	1.0	2.9	-1.56
GATA3	q<=5.0e-20	495.5	168.0	1.56
CLEC5A	q<=5.0e-20	3.0	1.0	1.56
RASL11A	q<=5.0e-20	4.7	13.8	-1.56
TYRO3	5.4e-13	3.3	9.6	-1.56
SOCS2-AS1	5.2e-04	6.1	18.0	-1.56
RIMS4	q<=5.0e-20	3.0	1.0	1.56
LINC02009	2.0e-07	1.0	3.0	-1.56
LPCAT2	q<=5.0e-20	9.8	28.9	-1.56
CEP126	2.7e-16	3.0	8.9	-1.55
TSPAN11	2.8e-18	2.0	5.8	-1.55
RNASE1	1.1e-11	217.3	635.8	-1.55
C10orf90	6.4e-14	1.0	2.9	-1.55
PLK4	q<=5.0e-20	7.5	2.6	1.55
TMOD2	q<=5.0e-20	3.9	11.5	-1.55
BARX2	3.3e-07	21.2	62.1	-1.55
SPEF1	q<=5.0e-20	2.9	1.0	1.55
STAT5A	q<=5.0e-20	33.0	96.9	-1.55
TPRG1-AS1	3.5e-15	1.0	2.9	-1.55
ZEB2	1.0e-16	11.3	33.1	-1.55
NEDD9	q<=5.0e-20	27.7	81.1	-1.55
KIFC2	q<=5.0e-20	12.3	4.2	1.55
EEF1AKMT4	q<=5.0e-20	11.0	3.8	1.55
ZFP36L2	q<=5.0e-20	64.7	188.8	-1.55
ARRDC3	1.9e-19	50.8	148.9	-1.55
UST	q<=5.0e-20	4.2	12.3	-1.55
HUNK	7.1e-14	1.6	4.7	-1.54
HOXD3	3.2e-15	1.0	2.9	-1.54
SERPINA6	9.4e-07	1.0	2.9	-1.54
TRNP1	1.1e-17	7.4	21.5	-1.54
ZNF423	q<=5.0e-20	2.9	8.4	-1.54
DPYD	q<=5.0e-20	15.4	45.0	-1.54
CRABP2	q<=5.0e-20	1068.4	366.3	1.54
PLTP	1.1e-14	75.4	219.2	-1.54
N4BP2L1	q<=5.0e-20	11.2	32.5	-1.54
KLF5	5.0e-10	14.9	43.6	-1.54
PCDHB15	q<=5.0e-20	1.0	3.0	-1.54
CD248	6.7e-14	41.8	121.1	-1.54
PCBP3	2.1e-07	1.2	3.4	-1.54
CD200	q<=5.0e-20	14.1	41.1	-1.54
SEMA6A-AS1	1.0e-08	1.3	3.9	-1.54
KALRN	q<=5.0e-20	4.6	13.3	-1.54
FGL2	q<=5.0e-20	17.1	49.7	-1.54
DBNDD1	q<=5.0e-20	45.0	15.4	1.54
PLCB1	9.8e-16	4.7	13.6	-1.54
FMNL2	q<=5.0e-20	11.5	33.4	-1.54
PDGFRL	6.4e-19	31.5	90.8	-1.53
GALNT12	3.6e-09	1.4	4.0	-1.53
CAB39L	q<=5.0e-20	23.0	66.4	-1.53
GDF15	q<=5.0e-20	20.1	7.0	1.53
RASL12	q<=5.0e-20	7.5	21.7	-1.53
SEMA3E	6.5e-09	3.0	8.6	-1.53
PRRT3	q<=5.0e-20	12.3	4.3	1.53
FANCA	q<=5.0e-20	4.7	1.6	1.53
CPM	1.2e-11	9.1	26.3	-1.53
MIR7152	1.6e-11	1.0	2.9	-1.53
MAP1B	q<=5.0e-20	11.6	33.6	-1.53
LRAT	1.5e-07	1.0	2.9	-1.52
PIWIL4	1.3e-13	1.4	4.0	-1.52
CAPN13	q<=5.0e-20	29.9	10.5	1.52
SCN3B	q<=5.0e-20	1.0	2.9	-1.52
PPM1J	q<=5.0e-20	7.8	2.7	1.52
PNPLA2	1.5e-14	84.8	242.7	-1.52
ART5	7.1e-12	1.0	2.9	-1.52
KAT2B	q<=5.0e-20	9.2	26.4	-1.52
TAC1	7.2e-06	1.0	2.9	-1.52
NCOA7	1.8e-19	15.7	45.1	-1.52
F2RL2	q<=5.0e-20	17.7	6.1	1.52
ARHGEF39	q<=5.0e-20	3.3	1.2	1.52
FAP	q<=5.0e-20	34.1	11.9	1.52
THSD7B	9.8e-19	1.0	2.9	-1.52
KIRREL1	q<=5.0e-20	17.3	49.5	-1.52
CTF1	q<=5.0e-20	7.1	20.2	-1.52
EVC2	q<=5.0e-20	2.2	6.4	-1.52
KRT19	q<=5.0e-20	2561.9	895.7	1.52
CYP1B1-AS1	4.8e-04	1.0	2.9	-1.52
KCNK1	q<=5.0e-20	32.8	11.4	1.52
VCAN	q<=5.0e-20	103.2	36.0	1.52
CARD6	q<=5.0e-20	5.1	14.5	-1.52
ME1	1.7e-07	9.9	28.5	-1.52
AIFM2	2.2e-14	16.0	45.8	-1.52
COL23A1	7.5e-08	1.0	2.9	-1.52
SMKR1	q<=5.0e-20	7.2	2.5	1.52
CLEC14A	q<=5.0e-20	20.8	59.7	-1.52
RNF125	q<=5.0e-20	4.7	13.6	-1.52
GRIK5	4.2e-11	1.0	2.9	-1.52
TUB	q<=5.0e-20	3.8	11.0	-1.52
ADAMTS18	6.5e-10	1.0	2.8	-1.51
NT5E	2.0e-17	12.3	35.0	-1.51
PRR19	q<=5.0e-20	4.3	1.5	1.51
TUBB6	q<=5.0e-20	61.1	174.0	-1.51
OXGR1	7.0e-07	1.0	2.9	-1.51
SIRPA	q<=5.0e-20	30.1	85.6	-1.51
ZNF502	q<=5.0e-20	3.3	9.2	-1.51
PDZRN3	q<=5.0e-20	17.4	49.6	-1.51
OGFRL1	q<=5.0e-20	18.2	51.9	-1.51
SPNS2	q<=5.0e-20	7.0	20.1	-1.51
FXYD6	q<=5.0e-20	5.9	16.9	-1.51
CCL23	2.4e-09	1.0	2.8	-1.51
SGK1	9.0e-17	50.7	144.0	-1.51
CLCA4	1.1e-14	1.0	2.8	-1.51
RARRES2	3.3e-12	133.8	381.4	-1.51
ACSL4	q<=5.0e-20	17.3	49.3	-1.51
ADAMTSL2	q<=5.0e-20	5.7	2.0	1.50
SORD	q<=5.0e-20	24.1	8.5	1.50
TIE1	q<=5.0e-20	15.7	44.2	-1.50
FGD4	q<=5.0e-20	6.1	17.4	-1.50
CBX2	q<=5.0e-20	10.2	3.6	1.50
TFCP2L1	2.6e-04	5.2	14.8	-1.50
NAALADL1	q<=5.0e-20	2.1	5.9	-1.50
OASL	q<=5.0e-20	15.2	5.4	1.50
RIPK4	2.0e-16	6.7	19.1	-1.50
EMILIN2	3.5e-14	6.2	17.7	-1.50
A2M-AS1	q<=5.0e-20	1.3	3.6	-1.50
SDC1	q<=5.0e-20	270.0	95.8	1.50
REM1	4.6e-17	1.2	3.5	-1.50
GRK3	1.4e-15	8.5	24.0	-1.50
TSACC	q<=5.0e-20	2.9	1.1	1.49
LRP1	2.7e-16	63.7	178.9	-1.49
AK4	q<=5.0e-20	14.2	40.0	-1.49
WDFY3-AS2	q<=5.0e-20	2.1	6.0	-1.49
HCG11	q<=5.0e-20	7.2	20.2	-1.49
EMX2OS	1.9e-14	1.0	2.8	-1.49
RAB7B	1.1e-17	5.9	16.4	-1.49
ANKRD22	q<=5.0e-20	4.9	1.7	1.49
SOCS3	1.0e-07	49.7	139.9	-1.49
TRPC1	q<=5.0e-20	2.6	7.2	-1.49
SGCE	q<=5.0e-20	36.8	103.2	-1.49
PODN	2.1e-12	32.1	90.4	-1.49
ITGA10	2.2e-08	2.2	6.1	-1.49
CPNE8	q<=5.0e-20	4.8	13.3	-1.48
RBPMS2	2.6e-11	4.1	11.5	-1.48
LOC101930071	4.8e-18	15.2	42.2	-1.48
IQCA1	1.9e-07	2.6	7.2	-1.48
KCNJ8	3.0e-16	7.8	21.7	-1.48
MECOM	q<=5.0e-20	5.7	16.0	-1.48
RTN1	8.7e-05	11.7	32.6	-1.48
RBBP8NL	q<=5.0e-20	7.7	2.7	1.48
PRCD	q<=5.0e-20	1.0	2.8	-1.48
COLGALT2	6.8e-10	1.0	2.8	-1.48
ABCB5	3.1e-15	1.0	2.8	-1.48
FAM13A-AS1	2.0e-07	1.3	3.5	-1.48
KLF8	q<=5.0e-20	4.0	11.2	-1.48
F13A1	3.1e-09	25.9	72.1	-1.48
SYNPO	1.8e-15	30.3	84.5	-1.48
PLPP7	2.5e-05	2.3	6.5	-1.48
TEF	q<=5.0e-20	15.7	43.6	-1.48
BCAS1	q<=5.0e-20	18.4	6.6	1.48
PYROXD2	q<=5.0e-20	10.5	29.2	-1.48
TWIST1	5.2e-10	12.0	33.2	-1.47
ARAP3	q<=5.0e-20	6.8	18.7	-1.47
ZNF367	q<=5.0e-20	6.9	2.5	1.47
VIM	q<=5.0e-20	550.2	1523.7	-1.47
NFKBIZ	4.1e-05	14.0	38.8	-1.47
ETS2	q<=5.0e-20	30.9	85.3	-1.47
SERPING1	q<=5.0e-20	374.6	1038.2	-1.47
LINC02693	2.2e-17	2.0	5.5	-1.47
PRX	q<=5.0e-20	3.2	8.9	-1.47
TYMP	q<=5.0e-20	108.7	39.2	1.47
HAAO	2.9e-06	7.4	20.4	-1.47
IL1RL2	5.3e-10	1.3	3.5	-1.47
CA11	1.4e-07	6.2	17.1	-1.47
C21orf58	q<=5.0e-20	9.4	3.4	1.47
GABARAPL1	q<=5.0e-20	75.0	207.4	-1.47
MAP3K8	5.6e-17	9.8	27.1	-1.47
CDC14A	1.7e-08	5.8	16.2	-1.47
TESMIN	q<=5.0e-20	27.4	10.0	1.46
SIX4	q<=5.0e-20	8.4	3.1	1.46
B4GALT6	q<=5.0e-20	1.8	4.8	-1.46
ID1	3.2e-12	23.5	64.7	-1.46
LDHD	1.3e-09	6.1	16.8	-1.46
FILIP1	1.3e-06	1.1	3.0	-1.46
PLPPR4	7.9e-17	1.3	3.6	-1.46
ADAMTS9-AS1	5.9e-09	1.0	2.7	-1.46
SLC11A1	q<=5.0e-20	4.2	1.5	1.46
OLFML1	q<=5.0e-20	14.6	40.1	-1.46
NPNT	q<=5.0e-20	79.8	29.1	1.46
CYP21A2	q<=5.0e-20	2.8	1.0	1.46
GPR68	q<=5.0e-20	10.1	3.7	1.46
TIPARP	7.8e-18	24.8	68.4	-1.46
CCDC9B	7.0e-15	6.1	16.7	-1.46
NALCN	3.6e-07	1.0	2.7	-1.46
LRRC73	q<=5.0e-20	3.8	1.4	1.46
HACD1	1.8e-07	1.9	5.2	-1.46
EYA2	6.0e-14	13.9	38.2	-1.46
AFAP1L2	6.9e-19	13.9	37.8	-1.45
RIPPLY3	q<=5.0e-20	2.7	1.0	1.45
ARHGAP10	q<=5.0e-20	10.5	28.6	-1.45
ZNF521	q<=5.0e-20	11.2	30.7	-1.45
SACS	q<=5.0e-20	3.1	8.4	-1.45
SULF1	q<=5.0e-20	114.0	41.9	1.45
ACADS	2.7e-17	21.1	57.6	-1.45
HOXC-AS1	q<=5.0e-20	4.0	10.9	-1.45
SLC25A18	6.2e-09	1.2	3.2	-1.45
RGS4	q<=5.0e-20	7.8	2.9	1.45
LRRC8C	q<=5.0e-20	6.9	18.9	-1.45
CDNF	q<=5.0e-20	3.1	8.4	-1.45
FGD5	q<=5.0e-20	10.2	28.0	-1.45
SLC2A12	1.4e-11	1.0	2.7	-1.45
ASPN	q<=5.0e-20	75.8	27.8	1.45
PXDC1	q<=5.0e-20	33.4	90.9	-1.45
PDE1B	1.9e-11	3.9	10.5	-1.45
TJP3	q<=5.0e-20	48.5	17.8	1.45
ARHGAP24	q<=5.0e-20	3.9	10.7	-1.45
HGF	1.3e-16	3.2	8.9	-1.45
FILIP1L	2.8e-17	27.6	75.3	-1.45
PINLYP	q<=5.0e-20	4.4	11.9	-1.44
MIR378H	9.5e-06	1.0	2.7	-1.44
ITGA6	q<=5.0e-20	43.3	117.7	-1.44
PRR7	q<=5.0e-20	4.8	1.8	1.44
CHEK1	q<=5.0e-20	10.1	3.7	1.44
L1CAM	1.7e-06	1.0	2.7	-1.44
GNG12-AS1	q<=5.0e-20	1.0	2.7	-1.44
DDIAS	q<=5.0e-20	5.4	2.0	1.44
CH25H	6.0e-09	2.6	7.1	-1.44
ZBED3-AS1	7.1e-15	3.3	8.9	-1.44
INTS6L	7.9e-20	5.5	14.9	-1.44
SLC52A2	q<=5.0e-20	78.8	28.9	1.44
GRK5	q<=5.0e-20	4.9	13.2	-1.44
FLI1	q<=5.0e-20	12.1	32.9	-1.44
PDE1A	q<=5.0e-20	2.3	6.3	-1.44
CCNE1	q<=5.0e-20	5.1	1.9	1.44
ZNF296	q<=5.0e-20	8.6	3.2	1.44
GALNT16	4.2e-19	9.2	24.7	-1.44
LINC02541	5.6e-04	2.9	8.0	-1.44
LPIN1	5.1e-10	13.3	36.1	-1.44
COBLL1	4.1e-18	10.5	28.4	-1.44
IL17D	4.5e-07	1.6	4.4	-1.44
MITF	q<=5.0e-20	7.6	20.6	-1.44
EPN3	q<=5.0e-20	20.1	7.4	1.44
KBTBD11	2.7e-13	1.8	4.7	-1.43
C4orf48	q<=5.0e-20	11.5	4.3	1.43
AFAP1L1	7.6e-16	5.9	15.9	-1.43
MAP3K20	5.0e-19	34.0	91.5	-1.43
LINC01091	5.5e-07	1.0	2.7	-1.43
ITPR1	2.0e-12	17.6	47.4	-1.43
LINGO1	q<=5.0e-20	8.4	3.1	1.43
LMO2	q<=5.0e-20	17.6	47.4	-1.43
ACO1	3.9e-14	16.6	44.6	-1.43
KLF11	q<=5.0e-20	14.4	38.6	-1.43
RGS6	7.5e-17	1.0	2.7	-1.43
IGFL2	q<=5.0e-20	2.7	1.0	1.43
BCL6	q<=5.0e-20	40.8	109.8	-1.43
PPARGC1A	8.3e-05	1.0	2.7	-1.43
SKAP2	q<=5.0e-20	19.5	52.7	-1.43
GUCY1A1	2.4e-16	8.0	21.6	-1.42
MCTP1	q<=5.0e-20	5.7	15.3	-1.42
SUSD3	q<=5.0e-20	84.4	31.4	1.42
MAFG-DT	q<=5.0e-20	10.4	3.9	1.42
EDA2R	8.9e-18	2.8	7.6	-1.42
PPARGC1B	1.1e-18	1.2	3.2	-1.42
KRT7-AS	7.6e-07	3.4	9.2	-1.42
TMEM139	7.4e-05	2.3	6.2	-1.42
DNA2	q<=5.0e-20	5.5	2.1	1.42
IER5L	q<=5.0e-20	10.2	3.8	1.42
FMO1	1.5e-13	6.9	18.3	-1.42
CPE	q<=5.0e-20	84.2	225.7	-1.42
ZNF471	q<=5.0e-20	2.8	7.5	-1.42
PLEKHA4	q<=5.0e-20	22.2	58.8	-1.41
KANK4	2.1e-04	5.3	14.2	-1.41
LCA5	q<=5.0e-20	4.4	11.8	-1.41
MIR4720	7.2e-15	5.3	14.0	-1.41
OXER1	7.7e-05	1.2	3.2	-1.41
RAMP2-AS1	1.4e-07	3.3	8.8	-1.41
GDPD5	6.6e-14	11.0	29.2	-1.41
SESN3	4.1e-10	14.4	38.2	-1.41
CORIN	4.0e-17	2.7	1.0	1.41
ANO1	4.9e-11	54.8	145.1	-1.41
TICRR	q<=5.0e-20	2.7	1.0	1.41
PHLDB2	9.9e-17	12.9	34.3	-1.41
C5AR2	q<=5.0e-20	8.0	3.0	1.41
PRRG1	q<=5.0e-20	5.1	13.5	-1.41
PAK5	3.9e-18	1.0	2.7	-1.41
RNF145	q<=5.0e-20	27.2	72.2	-1.41
LINC01589	1.4e-18	1.0	2.7	-1.41
SHROOM4	q<=5.0e-20	4.0	10.6	-1.41
ZFPM2	3.9e-15	3.2	8.4	-1.41
PSRC1	q<=5.0e-20	14.6	5.5	1.40
P3H4	q<=5.0e-20	45.9	17.4	1.40
EZH1	q<=5.0e-20	21.2	55.9	-1.40
ETV1	3.6e-16	4.8	12.8	-1.40
ZNF385B	2.9e-06	1.4	3.7	-1.40
ZNF667	2.8e-17	3.1	8.3	-1.40
ADRA1A	3.1e-10	1.0	2.6	-1.40
TCF7	2.7e-13	12.2	32.2	-1.40
PDGFA	4.2e-17	15.2	40.1	-1.40
RFTN2	3.1e-19	1.9	5.1	-1.40
KLHL21	q<=5.0e-20	25.8	67.8	-1.40
ARNT2	q<=5.0e-20	18.1	6.9	1.40
PPP1R15A	q<=5.0e-20	52.1	137.3	-1.40
ATP2B1-AS1	q<=5.0e-20	1.1	2.9	-1.40
ACSL5	q<=5.0e-20	11.9	31.2	-1.40
CFH	4.4e-15	36.3	95.5	-1.40
SLFN13	7.4e-09	3.2	8.4	-1.40
GREM1	1.2e-09	12.9	4.9	1.40
ATP8B4	1.8e-13	1.7	4.6	-1.40
ARSI	q<=5.0e-20	3.5	1.3	1.40
ZNF608	q<=5.0e-20	5.4	14.3	-1.40
MBNL2	q<=5.0e-20	38.3	101.2	-1.40
FGFR1	1.4e-17	50.7	133.4	-1.40
LIF	6.9e-05	3.1	8.2	-1.39
KRT8	q<=5.0e-20	1452.0	555.2	1.39
ARID5A	5.0e-17	37.8	98.8	-1.39
TRIB3	q<=5.0e-20	51.5	19.6	1.39
PLPPR1	1.5e-13	1.0	2.6	-1.39
FOLH1	3.0e-07	2.3	6.2	-1.39
TNFRSF11A	3.8e-13	2.2	5.7	-1.39
NEGR1	7.9e-10	2.0	5.3	-1.39
HELLS	q<=5.0e-20	14.0	5.4	1.39
MEF2C	3.3e-12	10.0	26.2	-1.39
MCOLN3	4.2e-04	2.4	6.2	-1.39
CYP46A1	9.6e-20	1.0	2.7	-1.39
ABHD6	q<=5.0e-20	7.4	19.3	-1.39
CNTN4	5.5e-10	2.7	7.0	-1.39
ETV5	1.1e-16	10.7	28.1	-1.39
SDK1	q<=5.0e-20	3.1	8.2	-1.39
SLC9A3R1	q<=5.0e-20	359.1	138.2	1.38
MIR186	4.8e-10	6.1	15.9	-1.38
CPEB1	q<=5.0e-20	1.0	2.6	-1.38
RN7SL1	1.0e-07	136.5	52.4	1.38
ACSS3	2.3e-10	5.3	13.8	-1.38
ESAM	q<=5.0e-20	39.2	101.9	-1.38
NFIX	q<=5.0e-20	52.3	135.8	-1.38
COL3A1	q<=5.0e-20	1705.4	653.5	1.38
TCP11L2	q<=5.0e-20	9.0	23.5	-1.38
IL1R1	q<=5.0e-20	34.0	88.3	-1.38
RCBTB2	q<=5.0e-20	12.3	32.1	-1.38
CMTM5	4.7e-05	1.0	2.6	-1.38
CFB	q<=5.0e-20	5.2	2.0	1.38
ADAMTS4	1.2e-05	12.5	4.8	1.38
CIP2A	q<=5.0e-20	6.1	2.4	1.38
CREB3L4	q<=5.0e-20	170.4	65.4	1.38
PMAIP1	q<=5.0e-20	16.0	6.2	1.38
FBXL6	q<=5.0e-20	24.4	9.4	1.38
CEP68	q<=5.0e-20	15.6	40.3	-1.37
C1QTNF1	1.5e-12	22.1	57.2	-1.37
ARHGEF28	q<=5.0e-20	8.4	21.8	-1.37
ADAM12	q<=5.0e-20	43.1	16.6	1.37
TLCD2	6.0e-13	4.4	11.2	-1.37
PYCR3	q<=5.0e-20	22.2	8.6	1.37
TBC1D4	q<=5.0e-20	17.8	45.9	-1.37
SOD2	q<=5.0e-20	49.9	128.9	-1.37
RASGRF2	4.2e-12	3.3	8.5	-1.37
STEAP1	8.9e-17	18.0	46.5	-1.37
TMCC3	q<=5.0e-20	4.5	11.7	-1.37
INPP1	q<=5.0e-20	13.0	33.7	-1.37
HLA-F-AS1	q<=5.0e-20	1.8	4.8	-1.37
CDC7	q<=5.0e-20	8.5	3.3	1.37
JAM3	q<=5.0e-20	15.6	40.3	-1.37
MEX3A	q<=5.0e-20	13.0	5.0	1.37
FBXO17	q<=5.0e-20	6.1	15.7	-1.37
NME1	q<=5.0e-20	51.7	20.0	1.37
ADAMTS14	q<=5.0e-20	2.6	1.0	1.37
ZFHX4	3.5e-07	2.2	5.8	-1.37
LOC284930	6.1e-11	2.6	1.0	1.37
BST1	2.3e-18	5.7	14.7	-1.37
LPP-AS2	q<=5.0e-20	2.3	6.0	-1.37
ACSS2	3.3e-18	37.7	96.9	-1.36
NFAT5	1.2e-18	8.4	21.6	-1.36
DAB2IP	q<=5.0e-20	34.9	89.5	-1.36
GFOD1	9.3e-19	6.0	15.4	-1.36
CCND2	q<=5.0e-20	12.6	32.4	-1.36
AP1M2	q<=5.0e-20	165.2	64.2	1.36
RTL5	q<=5.0e-20	4.8	12.4	-1.36
CLCA4-AS1	1.4e-19	1.2	3.1	-1.36
LY75	5.0e-13	3.1	8.0	-1.36
FAM43A	q<=5.0e-20	5.4	13.9	-1.36
MBNL3	q<=5.0e-20	3.0	7.8	-1.36
LRG1	q<=5.0e-20	26.8	10.4	1.36
PARD6B	q<=5.0e-20	16.8	6.5	1.36
MPDZ	q<=5.0e-20	13.1	33.6	-1.36
CEBPA-DT	1.8e-16	2.5	6.5	-1.36
SLC16A4	3.1e-16	8.9	22.9	-1.36
FLT4	q<=5.0e-20	6.8	17.4	-1.36
ADAMTS3	1.1e-10	1.0	2.6	-1.36
LIFR-AS1	1.3e-18	1.0	2.6	-1.36
RADIL	5.2e-15	1.4	3.7	-1.36
FZD4-DT	2.7e-13	1.0	2.7	-1.36
GEM	1.4e-15	27.9	71.5	-1.36
KCNJ11	q<=5.0e-20	13.6	5.3	1.36
LINC00160	q<=5.0e-20	2.6	1.0	1.36
ADGRB2	q<=5.0e-20	10.0	3.9	1.36
LOC102723566	1.2e-17	1.3	3.4	-1.36
PLEKHS1	4.4e-07	18.2	46.4	-1.35
SPEG	2.5e-04	3.2	8.1	-1.35
STMN1	q<=5.0e-20	246.7	96.9	1.35
ALS2CL	q<=5.0e-20	4.5	11.6	-1.35
CRB3	q<=5.0e-20	37.6	14.8	1.35
FADS3	1.6e-14	23.9	60.8	-1.35
STBD1	1.8e-12	1.7	4.5	-1.35
WIPF3	2.4e-16	2.9	7.4	-1.35
TIGIT	q<=5.0e-20	3.6	1.4	1.35
MAF	q<=5.0e-20	20.6	52.4	-1.35
CAPS	q<=5.0e-20	39.6	15.5	1.35
GPR84	q<=5.0e-20	2.6	1.0	1.35
FAM83H	q<=5.0e-20	64.8	25.3	1.35
TMEM200B	1.2e-10	3.7	9.5	-1.35
HOXD8	2.1e-11	5.5	13.9	-1.35
FBXL16	q<=5.0e-20	17.8	7.0	1.35
MIR126	2.1e-08	1.0	2.6	-1.35
VWDE	5.0e-06	1.0	2.5	-1.34
PCDHGA9	4.8e-19	1.0	2.5	-1.34
DLGAP1	1.1e-06	1.1	2.7	-1.34
PIK3CD-AS2	4.1e-09	2.5	6.3	-1.34
ZIK1	2.6e-05	2.1	5.2	-1.34
LIMCH1	q<=5.0e-20	30.9	78.4	-1.34
CHST2	3.5e-12	3.6	9.1	-1.34
CYP7B1	q<=5.0e-20	10.4	26.5	-1.34
FAM124B	1.0e-16	1.8	4.5	-1.34
LRFN5	3.2e-18	1.0	2.5	-1.34
PLCG2	q<=5.0e-20	5.3	13.5	-1.34
STON1	4.4e-16	3.8	9.7	-1.34
EFNA5	9.6e-14	7.1	17.9	-1.34
MICAL3	q<=5.0e-20	5.8	14.7	-1.34
CST6	q<=5.0e-20	6.9	2.7	1.34
STAT5B	q<=5.0e-20	39.4	99.9	-1.34
TTC39A	q<=5.0e-20	113.3	44.9	1.34
MFNG	q<=5.0e-20	10.8	27.5	-1.34
OLFML2A	q<=5.0e-20	17.4	44.0	-1.34
CHTF18	q<=5.0e-20	15.4	6.1	1.34
FNDC10	q<=5.0e-20	19.5	7.7	1.34
PNPLA7	q<=5.0e-20	6.5	16.4	-1.34
CNKSR2	5.4e-15	1.0	2.5	-1.33
TPD52	q<=5.0e-20	120.6	48.1	1.33
SLC28A2-AS1	3.0e-09	1.0	2.6	-1.33
SERPINF1	1.0e-16	295.1	744.6	-1.33
PELI1	q<=5.0e-20	19.2	48.2	-1.33
ITSN1	5.5e-14	12.3	31.1	-1.33
MSMB	4.5e-06	7.2	2.9	1.33
DNAH1	8.1e-18	1.6	4.0	-1.33
DIO1	q<=5.0e-20	2.5	1.0	1.33
N4BP3	q<=5.0e-20	13.7	5.5	1.33
PRDM8	q<=5.0e-20	1.0	2.5	-1.33
BPIFB1	6.1e-08	9.5	3.8	1.33
RASGRP2	3.7e-05	3.3	8.4	-1.33
ANXA9	q<=5.0e-20	61.9	24.7	1.33
SERPINF2	1.0e-05	3.7	9.2	-1.33
RHPN1-AS1	q<=5.0e-20	5.7	2.3	1.33
LINC00511	q<=5.0e-20	2.7	1.1	1.33
MIR3682	3.9e-10	7.3	18.4	-1.33
SLC12A8	q<=5.0e-20	17.5	7.0	1.33
EMX2	2.0e-11	1.0	2.5	-1.33
MAMLD1	1.1e-13	2.6	6.5	-1.33
PLCL2	9.5e-19	4.8	12.1	-1.33
EHF	3.5e-08	33.2	83.2	-1.32
CDH2	9.9e-08	2.5	1.0	1.32
ARRDC4	q<=5.0e-20	14.3	35.7	-1.32
MMP24	4.3e-06	1.0	2.5	-1.32
KRT6A	1.0e-03	1.0	2.5	-1.32
DNAAF9	q<=5.0e-20	8.9	22.1	-1.32
MCM2	q<=5.0e-20	21.5	8.6	1.32
SCUBE3	q<=5.0e-20	2.5	1.0	1.32
PALM	7.2e-15	28.9	72.0	-1.32
MYC	1.3e-17	53.8	134.5	-1.32
WNT7B	q<=5.0e-20	11.2	4.5	1.32
TMEM35A	1.4e-08	1.0	2.5	-1.32
CLDND2	2.5e-13	1.0	2.5	-1.32
HBEGF	1.5e-13	9.2	23.0	-1.32
RXYLT1-AS1	q<=5.0e-20	1.0	2.5	-1.31
VSTM4	1.0e-16	8.4	20.8	-1.31
ITGB3	5.8e-07	1.0	2.5	-1.31
LTBP2	q<=5.0e-20	49.6	122.8	-1.31
LINC02328	8.0e-16	1.3	3.2	-1.31
POU6F1	q<=5.0e-20	4.2	10.5	-1.31
ETV7	q<=5.0e-20	7.8	3.1	1.31
CA12	q<=5.0e-20	172.8	69.5	1.31
RELT	q<=5.0e-20	3.6	1.5	1.31
LOC105372273	1.0e-17	1.2	3.0	-1.31
PRDM11	q<=5.0e-20	4.9	12.1	-1.31
SLC6A16	4.2e-05	1.1	2.6	-1.31
LOC101927571	1.7e-05	1.0	2.5	-1.31
RSPH1	q<=5.0e-20	13.2	5.3	1.31
SEMA3C	9.5e-20	75.3	186.3	-1.31
SV2A	9.6e-05	2.0	5.1	-1.31
PYGO1	6.5e-16	1.5	3.8	-1.31
ACVRL1	q<=5.0e-20	13.7	33.9	-1.31
CCDC50	q<=5.0e-20	19.9	49.3	-1.31
STMND1	q<=5.0e-20	9.1	3.7	1.31
RIBC2	q<=5.0e-20	5.5	2.2	1.31
HID1-AS1	6.6e-20	1.0	2.5	-1.31
ARHGAP42	q<=5.0e-20	3.2	8.0	-1.30
THBD	1.2e-15	15.9	39.3	-1.30
CDKN2A	q<=5.0e-20	15.8	6.4	1.30
EIF1B-AS1	q<=5.0e-20	1.8	4.5	-1.30
HOXD10	7.5e-12	1.5	3.7	-1.30
RPS6KA3	q<=5.0e-20	12.1	29.9	-1.30
ADGRL3	2.2e-11	1.0	2.5	-1.30
ZNF467	q<=5.0e-20	27.3	11.1	1.30
CDH11	q<=5.0e-20	45.8	18.6	1.30
BICC1	q<=5.0e-20	8.3	20.5	-1.30
CASP10	3.8e-18	5.8	14.4	-1.30
PRR15L	q<=5.0e-20	77.4	31.5	1.30
BOLA2B	q<=5.0e-20	3.8	1.6	1.29
COL2A1	4.5e-11	1.0	2.4	-1.29
SLC51B	1.3e-19	1.0	2.4	-1.29
LOC101929295	1.6e-08	1.5	3.8	-1.29
CHST1	4.5e-12	5.5	2.3	1.29
ESPN	q<=5.0e-20	12.7	5.2	1.29
ME3	q<=5.0e-20	11.2	27.3	-1.29
PYCARD	q<=5.0e-20	81.9	33.6	1.29
MFSD3	q<=5.0e-20	43.1	17.6	1.29
C2CD2	1.6e-14	15.4	37.7	-1.29
LRRK2	3.5e-11	2.7	6.7	-1.29
ARRB1	q<=5.0e-20	14.5	35.6	-1.29
NDP	8.0e-12	1.1	2.7	-1.29
GOLGA8B	4.3e-10	3.9	9.4	-1.29
